Date,AgeAtCollection,Age_DPF,Age_DPA,Brood,Replicate,ID,TotalBehaviors,Chases,Bites,LateralDisplays,Extended,Border,Notes
2/20/2023,7,14,1,1,L,1,1,1,0,0,,0,
2/20/2023,7,14,1,1,R,2,0,0,0,0,,0,
2/22/2023,7,16,3,1,L,1,1,1,0,0,,0,
2/22/2023,7,16,3,1,R,2,0,0,0,0,,0,
2/27/2023,7,21,8,1,L,1,148,148,0,0,,0,
2/27/2023,7,21,8,1,R,2,59,59,0,0,,0,notE: 2 fish got undEr thE BarriEr
3/1/2023,7,23,10,1,L,1,25,20,2,3,,0,
3/1/2023,7,23,10,1,R,2,71,71,0,0,,0,notE: 2 fish got undEr thE BarriEr
3/6/2023,7,27,14,1,L,1,228,228,0,0,,0,
3/6/2023,7,27,14,1,R,2,57,54,0,3,,0,notE: 1 fish got undEr thE BarriEr
3/8/2022,7,29,16,1,L,1,127,121,0,6,,0,
3/8/2022,7,29,16,1,R,2,34,32,0,2,,0,
3/18/2023,11,13,0,3,L,3,1,0,1,0,0,0,
3/18/2023,11,13,0,3,R,4,0,0,0,0,0,0,
3/20/2023,11,15,2,3,L,3,0,0,0,0,0,0,
3/20/2023,11,15,2,3,R,4,1,1,0,0,0,0,
3/22/2023,11,17,4,3,L,3,2,0,0,2,0,0,
3/22/2023,11,17,4,3,R,4,12,9,2,1,0,0,
3/25/2023,11,20,7,3,L,3,2,0,2,0,0,0,
3/25/2023,11,20,7,3,R,4,2,2,0,0,0,0,
3/27/2023,11,22,9,3,L,3,19,15,1,3,0,0,
3/27/2023,11,22,9,3,R,4,163,159,0,4,0,0,
3/29/2023,11,24,11,3,L,3,18,17,0,1,0,0,
3/29/2023,11,24,11,3,R,4,98,96,0,2,1,0,
4/3/2023,11,26,13,3,L,3,143,138,0,5,2,0,
4/3/2023,11,26,13,3,R,4,163,159,0,4,6,0,
4/5/2023,11,28,15,3,L,3,246,245,0,1,9,0,
4/5/2023,11,28,15,3,R,4,237,237,0,0,3,0,
4/8/2023,11,30,17,3,L,3,188,185,0,3,6,0,
4/8/2023,11,30,17,3,R,4,82,81,0,1,6,0,
3/22/2023,11,12,-1,4,L,5,0,0,0,0,0,0,
3/22/2023,11,12,-1,4,R,6,0,0,0,0,0,0,
3/25/2023,11,15,2,4,L,5,2,2,0,0,0,0,
3/25/2023,11,15,2,4,R,6,3,2,1,0,0,0,
3/27/2023,11,17,4,4,L,5,88,86,0,2,4,0,
3/27/2023,11,17,4,4,R,6,57,56,0,1,0,0,
3/29/2023,11,19,6,4,L,5,1,0,0,1,0,0,
3/29/2023,11,19,6,4,R,6,1,0,0,1,0,0,
4/1/2023,11,22,9,4,L,5,82,81,0,1,0,0,
4/1/2023,11,22,9,4,R,6,96,93,0,3,1,0,
4/3/2023,11,24,11,4,L,5,114,113,0,1,4,0,
4/3/2023,11,24,11,4,R,6,50,47,1,2,1,0,
4/5/2023,11,26,13,4,L,5,307,305,0,2,8,0,
4/5/2023,11,26,13,4,R,6,183,181,0,2,1,0,
4/8/2023,11,28,15,4,L,5,334,333,0,1,0,0,
4/8/2023,11,28,15,4,R,6,75,73,0,2,0,0,
4/10/2023,11,30,17,4,L,5,142,135,0,7,11,0,
4/10/2023,11,30,17,4,R,6,260,254,0,6,6,0,
4/12/2023,11,32,19,4,L,5,38,32,0,6,4,0,
4/12/2023,11,32,19,4,R,6,391,389,0,2,6,0,
5/13/2023,5,9,-3,5,R,7,0,0,0,0,0,0,
5/13/2023,5,9,-3,5,L,8,0,0,0,0,0,0,
5/15/2023,5,11,-1,5,R,7,0,0,0,0,0,0,
5/15/2023,5,11,-1,5,L,8,1,1,0,0,0,0,
5/17/2023,5,13,1,5,R,7,0,0,0,0,0,0,
5/17/2023,5,13,1,5,L,8,15,13,1,1,1,0,
5/20/2023,5,16,4,5,R,7,8,7,1,0,0,0,
5/20/2023,5,16,4,5,L,8,21,17,0,4,0,0,
5/22/2023,5,18,6,5,R,7,39,38,0,1,1,0,
5/22/2023,5,18,6,5,L,8,53,51,1,1,3,0,
5/24/2023,5,20,8,5,R,7,8,7,0,1,0,0,
5/24/2023,5,20,8,5,L,8,59,58,1,0,0,0,
5/27/2023,5,23,11,5,R,7,13,12,0,1,0,0,
5/27/2023,5,23,11,5,L,8,14,9,2,3,0,0,
5/29/2023,5,25,13,5,R,7,198,193,0,5,2,0,
5/29/2023,5,25,13,5,L,8,65,57,1,6,2,1,
