Tank,Brood,Treatment,Treatment_label,Date,Age at Collection,Age,Behaviors,Normalized_Behaviors,VidLength,NumFish,Grader
1,CNG032024C,CNG +/+,CNGa2b Wild Type,3/30/2024,10,20,0,0,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,3/30/2024,10,20,1,0.166666667,30,5,MW
1,CNG032024C,CNG +/+,CNGa2b Wild Type,4/1/2024,10,22,0,0,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,4/1/2024,10,22,2,0.333333333,30,5,MW
1,CNG032024C,CNG +/+,CNGa2b Wild Type,4/3/2024,10,24,44,7.333333333,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,4/3/2024,10,24,56,9.333333333,30,5,MW
1,CNG032024C,CNG +/+,CNGa2b Wild Type,4/4/2024,10,25,1,0.166666667,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,4/4/2024,10,25,1,0.166666667,30,5,MW
1,CNG032024C,CNG +/+,CNGa2b Wild Type,4/6/2024,10,27,37,6.166666667,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,4/6/2024,10,27,96,16,30,5,MW
1,CNG032024C,CNG +/+,CNGa2b Wild Type,4/11/2024,10,32,87,14.5,30,5,MW
2,CNG032024C,CNG D52I2/D52I2,CNGa2b Homozygous,4/11/2024,10,32,124,20.66666667,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/4/2024,3,18,1,0.166666667,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/4/2024,3,18,0,0,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/6/2024,3,20,0,0,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/6/2024,3,20,2,0.333333333,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/8/2024,3,22,6,1,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/8/2024,3,22,109,18.16666667,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/11/2024,3,25,19,3.166666667,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/11/2024,3,25,56,9.333333333,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/13/2024,3,27,32,5.333333333,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/13/2024,3,27,195,32.5,30,5,MW
3,CNG032024B,CNG D52I2/+,CNGa2b Heterozygous,4/18/2024,3,32,23,3.833333333,30,5,MW
4,CNG032024B,CNG D52I2/D52I2,CNGa2b Homozygous,4/18/2024,3,32,30,5,30,5,MW
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/18/2024,5,14,0,0,8,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/18/2024,5,14,0,0,8,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/20/2024,5,16,0,0,30,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/20/2024,5,16,0,0,30,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/22/2024,5,18,0,0,30,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/22/2024,5,18,0,0,30,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/24/2024,5,20,0,0,22,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/24/2024,5,20,0,0,22,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/26/2024,5,22,1,0.166666667,30,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/26/2024,5,22,8,1.333333333,30,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,4/29/2024,5,25,0,0,24,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,4/29/2024,5,25,4,0.666666667,24,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,5/1/2024,5,27,16,2.666666667,30,5,ME
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,5/1/2024,5,27,10,1.666666667,30,5,ME
1,CNG040924A,CNG +/+,CNGa2b Wild Type,5/6/2024,5,32,7,1.166666667,15,5,MW
2,CNG040924A,CNG D52I2/D52I2,CNGa2b Homozygous,5/6/2024,5,32,1,0.166666667,15,5,MW
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/18/2024,,14,0,0,8,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/18/2024,,14,0,0,8,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/20/2024,,16,0,0,30,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/20/2024,,16,0,0,30,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/22/2024,,18,0,0,30,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/22/2024,,18,0,0,39,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/24/2024,,20,0,0,21,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/24/2024,,20,0,0,21,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/26/2024,,22,1,0.166666667,30,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/26/2024,,22,8,1.333333333,30,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,4/29/2024,,25,0,0,24,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,4/29/2024,,25,4,0.666666667,24,5,ME
3,CNG,CNG D52I2/D52I2,CNGa2b Homozygous,5/1/2024,,27,16,2.666666667,30,5,ME
3,CNG,CNG +/+,CNGa2b Wild Type,5/1/2024,,27,10,1.666666667,30,5,ME
